덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
002102.SZ,ST박르,20070510,18.83,19.3,19.3,18.18,18.79,964439,17840878.6,-0.04,-0.2124,18.4987,3.2148,563700000,,2135918638.82,30000000,0,113673158,58.8305,5.5009,6.3883,12.5092,
002102.SZ,ST박르,20070511,18.79,18.26,19.2,18.26,18.88,598910,11235801.9,0.09,0.479,18.7604,1.9964,566400000,,2146149223.04,30000000,0,113673158,59.1123,5.5272,6.4189,12.5692,
002102.SZ,ST박르,20070514,18.88,18.4,19.13,18.4,18.5,1339939,24942750.5,-0.38,-2.0127,18.6148,4.4665,555000000,,2102953423,30000000,0,113673158,57.9225,5.416,6.2897,12.3162,
002102.SZ,ST박르,20070515,18.5,18.55,18.65,18.02,18.25,1161682,21323559.2,-0.25,-1.3514,18.3558,3.8723,547500000,,2074535133.5,30000000,0,113673158,57.1398,5.3428,6.2047,12.1497,
002102.SZ,ST박르,20070516,18.25,18.1,18.59,18,18.5,1056489,19245666.1,0.25,1.3699,18.2166,3.5216,555000000,,2102953423,30000000,0,113673158,57.9225,5.416,6.2897,12.3162,
002102.SZ,ST박르,20070517,18.5,18.3,19.3,18.3,18.79,1091095,20692843.5,0.29,1.5676,18.9652,3.637,563700000,,2135918638.82,30000000,0,113673158,58.8305,5.5009,6.3883,12.5092,
002102.SZ,ST박르,20070518,18.79,18.84,19.35,18.6,18.87,1059306,20026505.3,0.08,0.4258,18.9053,3.531,566100000,,2145012491.46,30000000,0,113673158,59.081,5.5243,6.4155,12.5625,
002102.SZ,ST박르,20070521,18.87,18.5,19.58,18.3,19.48,1096969,21034830.1,0.61,3.2326,19.1754,3.6566,584400000,,2214353117.84,30000000,0,113673158,60.9909,5.7029,6.6229,12.9686,
002102.SZ,ST박르,20070522,19.48,19.65,20.48,19.5,19.6,1108175,22142694.5,0.12,0.616,19.9812,3.6939,588000000,,2227993896.8,30000000,0,113673158,61.3666,5.738,6.6637,13.0485,
002102.SZ,ST박르,20070523,19.6,19.51,20.09,19.35,19.83,435707,8632165.2,0.23,1.1735,19.8119,1.4524,594900000,,2254138723.14,30000000,0,113673158,62.0867,5.8053,6.7419,13.2016,
002102.SZ,ST박르,20070524,19.83,19.55,20,18.9,19.2,573564,11071798.6,-0.63,-3.177,19.3035,1.9119,576000000,,2182524633.6,30000000,0,113673158,60.1142,5.6209,6.5277,12.7822,
002102.SZ,ST박르,20070525,19.2,19.2,19.68,18.96,19.18,578550,11117335.4,-0.02,-0.1042,19.2159,1.9285,575400000,,2180251170.44,30000000,0,113673158,60.0516,5.6151,6.5209,12.7689,
002102.SZ,ST박르,20070528,19.18,19.5,19.67,19.1,19.45,1231183,23843348.5,0.27,1.4077,19.3662,4.1039,583500000,,2210942923.1,30000000,0,113673158,60.8969,5.6941,6.6127,12.9486,
002102.SZ,ST박르,20070529,19.45,19.45,19.5,19.08,19.48,1148438,22148647.7,0.03,0.1542,19.2859,3.8281,584400000,,2214353117.84,30000000,0,113673158,60.9909,5.7029,6.6229,12.9686,
002102.SZ,ST박르,20070530,19.48,18.08,19.21,17.53,17.95,1263950,23000744.7,-1.53,-7.8542,18.1975,4.2132,538500000,,2040433186.1,30000000,0,113673158,56.2005,5.255,6.1027,11.95,
002102.SZ,ST박르,20070531,17.95,18,18.44,16.64,17.5,845275,14656966.6,-0.45,-2.507,17.3399,2.8176,525000000,,1989280265,30000000,0,113673158,54.7916,5.1232,5.9497,11.6504,
002102.SZ,ST박르,20070601,17.5,17.4,18.2,16.71,17.41,502498,8780702.2,-0.09,-0.5143,17.4741,1.675,522300000,,1979049680.78,30000000,0,113673158,54.5098,5.0969,5.9191,11.5905,
002102.SZ,ST박르,20070604,17.41,17.01,17.75,15.67,15.79,1464335,24568250.3,-1.62,-9.305,16.7778,4.8811,473700000,,1794899164.82,30000000,0,113673158,49.4377,4.6226,5.3684,10.512,
002102.SZ,ST박르,20070605,15.79,15.07,16.48,14.49,16.03,954990,14738680.5,0.24,1.5199,15.4333,3.1833,480900000,,1822180722.74,30000000,0,113673158,50.1891,4.6929,5.45,10.6718,
002102.SZ,ST박르,20070606,16.03,16.03,16.83,16,16.64,926464,15326147.2,0.61,3.8054,16.5426,3.0882,499200000,,1891521349.12,30000000,0,113673158,52.099,4.8715,5.6573,11.0779,
002102.SZ,ST박르,20070607,16.64,16.78,17.2,16.78,17.09,1062146,18048236.9,0.45,2.7043,16.9922,3.5405,512700000,,1942674270.22,30000000,0,113673158,53.5079,5.0032,5.8103,11.3775,
002102.SZ,ST박르,20070608,17.09,17.02,17.3,16.8,17,899715,15331903.7,-0.09,-0.5266,17.0408,2.999,510000000,,1932443686,30000000,0,113673158,53.2261,4.9768,5.7797,11.3176,
002102.SZ,ST박르,20070611,17,17.06,17.6,16.95,17.4,819959,14112623.8,0.4,2.3529,17.2114,2.7332,522000000,,1977912949.2,30000000,0,113673158,54.4785,5.094,5.9157,11.5839,
002102.SZ,ST박르,20070612,17.4,17.45,17.88,16.95,17.55,1007654,17399434.6,0.15,0.8621,17.2673,3.3588,526500000,,1994963922.9,30000000,0,113673158,54.9481,5.1379,5.9667,11.6837,
002102.SZ,ST박르,20070613,17.55,17.98,18.98,17.6,18.86,2031297,36696490.5,1.31,7.4644,18.0655,6.771,565800000,,2143875759.88,30000000,0,113673158,59.0497,5.5214,6.4121,12.5558,
002102.SZ,ST박르,20070614,18.86,18.3,19.9,18.2,19,1991494,38437634.6,0.14,0.7423,19.3009,6.6383,570000000,,2159790002,30000000,0,113673158,59.488,5.5624,6.4597,12.649,
002102.SZ,ST박르,20070615,19,18.6,20.13,18.6,19.73,1208426,23759658,0.73,3.8421,19.6617,4.0281,591900000,,2242771407.34,30000000,0,113673158,61.7736,5.7761,6.7079,13.135,
002102.SZ,ST박르,20070618,19.73,20.05,21.45,20.05,20.7,1567817,32572401.3,0.97,4.9164,20.7756,5.2261,621000000,,2353034370.6,30000000,0,113673158,64.8106,6.06,7.0377,13.7808,
002102.SZ,ST박르,20070619,20.7,20.7804,21.2326,20.1976,21.1019,990261,20498890.4,0.4019,1.9417,20.7005,3.3009,630000000,,2387136318,30000000,0,113673158,65.7499,6.1479,7.1397,13.9805,
002102.SZ,ST박르,20070620,21.1019,21.1019,22.0967,20.0971,21.2426,1045408,21755329.5,0.1407,0.6667,20.8104,3.4847,634200000,,2403050560.12,30000000,0,113673158,66.1882,6.1889,7.1873,14.0737,
002102.SZ,ST박르,20070621,21.2426,21.0014,22.8906,21.0014,22.6997,1433763,31710204.9,1.457,6.859,22.1168,4.7792,677700000,,2567876639.22,30000000,0,113673158,70.7281,6.6134,7.6803,15.039,
002102.SZ,ST박르,20070622,22.6997,22.4585,23.5035,20.7,21.3531,1224770,26533820.8,-1.3465,-5.9318,21.6643,4.0826,637500000,,2415554607.5,30000000,0,113673158,66.5326,6.2211,7.2247,14.147,
002102.SZ,ST박르,20070625,21.3531,21.6044,21.9058,19.8961,19.8961,850689,17449071.9,-1.457,-6.8235,20.5117,2.8356,594000000,,2250728528.4,30000000,0,113673158,61.9928,5.7966,6.7317,13.1816,
002102.SZ,ST박르,20070626,19.8961,19.9162,20.5995,19.3334,20.5995,578323,11631582.8,0.7034,3.5354,20.1126,1.9277,615000000,,2330299739,30000000,0,113673158,64.1844,6.0015,6.9697,13.6476,
002102.SZ,ST박르,20070627,20.5995,20.4086,20.8005,19.7655,20.5995,964773,19517425.3,0,0,20.2301,3.2159,615000000,,2330299739,30000000,0,113673158,64.1844,6.0015,6.9697,13.6476,
002102.SZ,ST박르,20070628,20.5995,20.5493,20.5895,19.4942,19.5947,982973,19326645.5,-1.0049,-4.878,19.6614,3.2766,585000000,,2216626581,30000000,0,113673158,61.0535,5.7087,6.6297,12.9819,
