ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
603848.SH,บรฬซฬซ,20180427,19.98,20,20.62,19.8,20.58,3664300,74137665,0.6,3.003,20.2324,8.9373,843780000,,8252580000,41000000,0,401000000,40.0949,7.5842,7.4165,24.8831,
603848.SH,บรฬซฬซ,20180502,20.58,20.8,22.28,20.8,21.69,8711152,187540908,1.11,5.3936,21.5288,21.2467,889290000,,8697690000,41000000,0,401000000,39.0917,7.6578,7.8165,26.2251,
603848.SH,บรฬซฬซ,20180503,21.69,22.12,22.49,21.31,22.34,7224079,158749473,0.65,2.9968,21.975,17.6197,915940000,,8958340000,41000000,0,401000000,40.2631,7.8873,8.0507,27.0111,
603848.SH,บรฬซฬซ,20180504,22.34,23,23.5,21.7,21.73,6305550,141452052,-0.61,-2.7305,22.4329,15.3794,890930000,,8713730000,41000000,0,401000000,39.1637,7.6719,7.8309,26.2735,
603848.SH,บรฬซฬซ,20180507,21.73,21.7,22.46,21.68,22.29,5958743,131580741,0.56,2.5771,22.082,14.5335,913890000,,8938290000,41000000,0,401000000,40.173,7.8697,8.0327,26.9506,
603848.SH,บรฬซฬซ,20180508,22.29,22.1,23,21.8,21.91,4690521,104421863,-0.38,-1.7048,22.2623,11.4403,898310000,,8785910000,41000000,0,401000000,39.4882,7.7355,7.8958,26.4911,
603848.SH,บรฬซฬซ,20180509,21.91,22,22.1,21.52,21.98,3440322,74998021,0.07,0.3195,21.7997,8.391,901180000,,8813980000,41000000,0,401000000,39.6143,7.7602,7.921,26.5758,
603848.SH,บรฬซฬซ,20180510,21.98,22,22.15,21.65,22.08,2610759,57236892,0.1,0.455,21.9235,6.3677,905280000,,8854080000,41000000,0,401000000,39.7945,7.7955,7.957,26.6967,
603848.SH,บรฬซฬซ,20180511,22.08,21.9,22.7,21.9,22.06,3267884,72962443,-0.02,-0.0906,22.3271,7.9704,904460000,,8846060000,41000000,0,401000000,39.7585,7.7885,7.9498,26.6725,
603848.SH,บรฬซฬซ,20180514,22.06,21.6,22.85,21.21,22.67,4492379,99319437,0.61,2.7652,22.1084,10.957,929470000,,9090670000,41000000,0,401000000,40.8579,8.0038,8.1697,27.4101,
603848.SH,บรฬซฬซ,20180515,22.67,22.58,24.46,22.58,23.93,7359911,173045119,1.26,5.558,23.5118,17.951,981130000,,9595930000,41000000,0,401000000,43.1288,8.4487,8.6237,28.9335,
