測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070417,467.5532,467.3252,476.2158,455.9271,463.9058,5441089,110879009,-3.6474,-0.7801,20.3781,1.1793,9388840204.15,,20380385928.1,461368069,0,1001493166,30.3737,6.7796,5.1798,-9426.6621,
600660.SH,腦珓產薛,20070418,463.9058,468.4651,478.0395,455.9271,477.5836,7390204,151689096,13.6778,2.9484,20.5257,1.6018,9665661045.55,,20981281827.7,461368069,0,1001493166,31.2692,6.9795,5.3325,-9704.5977,
600660.SH,腦珓產薛,20070419,477.5836,475.304,515.1976,471.8845,495.3648,13395093,288548911,17.7812,3.7232,21.5414,2.9033,10025528139.37,,21762446497.18,461368069,0,1001493166,32.4334,7.2394,5.531,-10065.9141,
600660.SH,腦珓產薛,20070420,495.3648,501.5198,519.7568,483.9666,509.4985,7328085,161067714,14.1337,2.8532,21.9795,1.5883,10311576342.15,,22383372260.1,461368069,0,1001493166,33.3588,7.4459,5.6888,-10353.1152,
600660.SH,腦珓產薛,20070423,509.4985,515.1976,532.2948,508.3587,527.9635,7400805,169763135,18.465,3.6242,22.9385,1.6041,10685284478.04,,23194581724.56,461368069,0,1001493166,34.5678,7.7158,5.895,-10728.3281,
600660.SH,腦珓產薛,20070424,527.9635,531.8389,558.5106,531.611,550.7599,10342571,248871925,22.7964,4.3178,24.0629,2.2417,11146652547.04,,24196074890.56,461368069,0,1001493166,36.0603,8.049,6.1495,-11191.5547,
600660.SH,腦珓產薛,20070425,550.7599,535.2584,551.6717,522.2644,545.2888,7532283,176059599,-5.4711,-0.9934,23.374,1.6326,11035924210.48,,23955716530.72,461368069,0,1001493166,35.7021,7.969,6.0885,-11080.3809,
600660.SH,腦珓產薛,20070426,545.2888,542.5532,544.8328,529.5593,532.2948,3800617,89350283,-12.9939,-2.3829,23.5094,0.8238,10772944411.15,,23384865426.1,461368069,0,1001493166,34.8513,7.7791,5.9434,-10816.3418,
600660.SH,腦珓產薛,20070427,532.2948,532.2948,537.538,501.5198,510.6383,3682501,83119958,-21.6565,-4.0685,22.5716,0.7982,10334644745.6,,22433446918.4,461368069,0,1001493166,33.4334,7.4626,5.7016,-10376.2764,
600660.SH,腦珓產薛,20070430,510.6383,504.4833,521.5806,504.4833,516.1094,3728702,84007554,5.4711,1.0714,22.53,0.8082,10445373082.16,,22673805278.24,461368069,0,1001493166,33.7916,7.5426,5.7626,-10487.4502,
600660.SH,腦珓產薛,20070508,516.1094,519.7568,550.5319,519.7568,545.2888,4718500,112188798,29.1793,5.6537,23.7764,1.0227,11035924210.48,,23955716530.72,461368069,0,1001493166,35.7021,7.969,6.0885,-11080.3809,
600660.SH,腦珓產薛,20070509,545.2888,544.3769,544.8328,512.462,518.845,4615569,106366783,-26.4438,-4.8495,23.0452,1.0004,10500737250.44,,22793984458.16,461368069,0,1001493166,33.9707,7.5825,5.7932,-10543.0381,
600660.SH,腦珓產薛,20070510,518.845,519.5289,543.693,505.6231,531.611,7353176,168174531,12.766,2.4605,22.871,1.5938,10759103369.08,,23354820631.12,461368069,0,1001493166,34.8066,7.7691,5.9357,-10802.4443,
600660.SH,腦珓產薛,20070511,531.611,530.2432,530.2432,508.3587,516.7933,4552487,103013136,-14.8176,-2.7873,22.6279,0.9867,10459214124.23,,22703850073.22,461368069,0,1001493166,33.8364,7.5526,5.7703,-10501.3477,
600660.SH,腦珓產薛,20070514,516.7933,501.5198,523.4043,498.7842,513.3739,3382849,76211847,-3.4195,-0.6617,22.5289,0.7332,10390008913.88,,22553626098.32,461368069,0,1001493166,33.6125,7.5026,5.7321,-10431.8633,
600660.SH,腦珓產薛,20070515,513.3739,512.9179,519.7568,496.9605,499.2401,4661331,103887972,-14.1337,-2.7531,22.2872,1.0103,10103960711.1,,21932700335.4,461368069,0,1001493166,32.6871,7.296,5.5743,-10144.6631,
